job_title,company_name,company_location,seniority_level,employment_type,job_description
Fachperson Betreuung,Joker Personal AG,"Basel, Basel, Switzerland",Entry level,Full-time,"AufgabenbereichSie sind zuständig für die qualitative Pflege und Betreuung von den BewohnernSie begleiten verschiedene Tagesstrukturierende Angebote, wie Schwimmen, gemeinsames Einkaufen und KochenBereitschaft für interdisziplinäre ZusammenarbeitSie pflegen einen freundlichen und wertschätzenden Umgang mit den Bewohnern und deren AngehörigenAnforderungsprofilAbgeschlossene Ausbildung als Fachperson Betreuung, Fachperson Gesundheit, Sozial Pädagoge oder äquivalentErfahrung in der Betagtenarbeit und vor allem in der Begleitung von Menschen mit herausforderndem VerhaltenPC-Anwenderkenntnisse(MS-Office und LOBOS)Gute Deutschkenntnisse in Wort und SchriftKontaktMirjam Tschudin0612278789mirjam.tschudin@jokerpersonal.ch"
Fachperson Betreuung 80% Temporär,Joker Personal AG,"Basel, Basel, Switzerland",Entry level,Part-time,"AufgabenbereichSie betreuen Patienten mit AutismusSie helfen bei der WeiterentwicklungSie pflegen die PatientenSie sind für die hauswirtschaftlichen Aufgaben zuständigSie kümmern sich ausserdem um hauswirtschaftliche TätigkeitenSie sorgen für Ordnung und SauberkeitSie sorgen für das Wohlbefinden der betreuten PersonenAnforderungsprofilSie haben eine abgeschlossene Ausbildung als Fachperson BetreuungSie sind psychisch und physisch stabilSie können mit Menschen mit Autismus gut umgehen, da es schwierige Patienten sind, die auch sehr laut werden könnenSie bringen schon einige Jahre Berufserfahrung mitSie sind eine aufgestellte, motivierte und eine disziplinierte PersonKontaktMirjam Tschudin0612278789mirjam.tschudin@jokerpersonal.ch"
Fachperson Betreuung 70-100% (m/w/d),JobCourier,"Olten, Solothurn, Switzerland",Entry level,Full-time,"DasTeamUnterstützen und Fördern im Rahmen der Bezugspersonenarbeit die sozialen Fähigkeiten und Fertigkeiten sowie die Alltagsbewältigung und Freizeitgestaltung der BewohnerInnen ab 18 JahrenSie handeln in Notfallsituationen entsprechend kompetent und vermitteln den BewohnerInnen SicherheitSie setzen den Betreungsprozess kompetent um und fördern die Gesundheit und die Ressourcen der BewohnerInnenSie verstehen sich als Teil eines interprofessionellen Betreuungsteams mit Verwantwortung für die optimale Umsetzung des Konzepts sowie Leitbildes unseres KundenKein NachtdienstWir ErwartenErfolgreich abgeschlossene Ausbildung als Fachperson Betreuung EFZ, Sozialpädagog*in HF, oder vergleichbare AbschlüsseFlexible, engagierte und belastbare Persönlichkeit mit einer hohen Fach-, Sozial- sowie Selbstkompetenz in einem lebhaften BetriebSie haben Interesse, bei der Weiterentwicklung dieses Betriebes mitzuwirkenSie sprechen und schreiben fliessend Deutsch und verfügen über einen sicheren Umgang mit den gängigen Office-AnwendungenWir BietenTeam und Kollegialität; Bei unserem Kunden wird eine Kultur des Miteinanders gepflegt: Respektvoll und kollegial miteinander umgehen und einen grossen sozialen Austausch lebenFlexibilität; Jahresarbeitszeit, Teilzeitpensen, unbezahlter Urlaub - unser Kunde nimmt Rücksicht auf die Wünsche und individuelle Lebenssituation ihrer MitarbeitendenAttraktives Arbeitsumfeld; Attraktive Anstellungs- und Arbeitsbedingungen, gratis Parkplätze, vergünstigtes Essen für MitarbeitendeStandort und Verkehrsanbindung; Kurze Arbeitswege dank zentraler, verkehrstechnisch günstig gelegenem Standort, der auch mit den ÖV sehr gut erreichbar istWeiterbildung und Entwicklung; Wir bieten Weiterbildungsgänge in allen Fachbereichen anf.baettig@team.jobsBranche: AnderesFunktion: Anderes"
Sozialarbeiter/in (a) 60-100%,Kanton Luzern,"Lucerne, Lucerne, Switzerland",Not Applicable,Full-time,"Bei uns gestalten Sie die Entwicklung des Kantons Luzern und finden die besten Lösungen für die Zukunft der gesamten Region Zentralschweiz.Ihre AufgabenAls Dienstelle Asyl- und Flüchtlingswesen sind wir zehn Jahre für die geflüchteten Menschen im Kanton Luzern zuständig. Als Sozialarbeiterin / Sozialarbeiter bedeutet dies das Verfolgen einer kontinuierlichen Fallarbeit und das gekonnte Nutzen von Spielraum in der Gestaltung eines passenden Beratungssettings.Geflüchtete Menschen mit einer hohen Ausbildungsfähigkeit und/oder arbeitsmarktlichen Anschlussfähigkeit begleiten Sie mit Ihrer erlernten Fach- und Methodenkompetenz erfolgreich in den ersten Arbeitsmarkt.Bei Mehrfachbelastungen wie z.B. gesundheitlichen Beschwerden, Schulden, Arbeitslosigkeit, soziale Isolation ermitteln Sie gemeinsam mit den betroffenen Personen passende Interventionen und Massnahmen.Im Rahmen der gesetzlichen Vorgaben den oft schmalen Grat zwischen Hilfe und Kontrolle aber der eigenen Profession gekonnt meistern.Sie nehmen den Lead in der Fallführung gerne wahr und treten in der Zusammenarbeit mit anderen Fachstellen entsprechend als Verantwortliche auf.Sie bringen sich in einem erfahrenen und motivierten Team in fachlichen Diskussionen gerne ein.In all diesen Aufgaben werden Sie von engagierten sowie hilfsbereiten Sachbearbeitenden unterstützt und pflegen eine enge Zusammenarbeit in der Fallführung.Ihr ProfilEine Ausbildung in Sozialer Arbeit auf Stufe FH und am liebsten erste Berufserfahrungen in der gesetzlichen Sozialhilfe sowie in Subsidiaritäts- und SozialversicherungsfragenFreude und Interesse an der Arbeit mit Menschen aus anderen KulturenDie spürbare Freude an dem, was Sie tun, Ihre ""can do - Haltung"" und, wenn es mal hektischer ist, Ihre Gelassenheit und eine gute Prise HumorOrganisatorisches Talent und aktives Mitdenken"
"Sozialpädagogen / Fachpersonen Betreuung (m,w,d)",Adecco Medical & Clinical Experts,"Thun, Berne, Switzerland",Entry level,Full-time,"Spannende Herausforderung fürSozialpädagogen / Fachpersonen Betreuung (m,w,d)Deine AufgabenEinfühlsame Begleitung von Menschen mit BeeinträchtigungenFörderung der BezugspersonenarbeitGestaltung lebendiger WohngruppenKreation von breiten Freizeitangeboten und Unterstützung bei der TagesstrukturAktive Einbringung kreativer Ideen in ProjekteBegleitung und Förderung von AuszubildendenDeine KompetenzenOffene und neugierige HaltungBerufserfahrung im Suchtbereich und mit psychischen BeeinträchtigungenGelassene, standhafte Grundhaltung und Humor für positive TeamarbeitAbgeschlossene PraxisausbildungAbgeschlossener Medi Kurs oder Bereitschaft zur AbsolvierungDas Angebot für dichFlache Hierarchien und wertschätzende ZusammenarbeitModernes Werteverständnis auf Teamarbeit und offener KommunikationMöglichkeit zur vollen Entfaltung deines Potenzials in erfüllbaren ArbeitsbedingungenGroßes Miteinander, in dem jeder Mitarbeiterin zähltBist du bereit für eine spannende Stelle, die nicht nur eine Aufgabe, sondern eine erfüllende Mission bietet? Dann freuen wir uns auf deine Bewerbung!Dein KontaktFrau Fabienne Zbinden, Senior Consultant Retail, beantwortet deine Fragen gerne unter der Nummer +41 58 233 44 80.Bitte bewirb dich direkt online und beziehe dich dabei bitte auf die Referenznummer 052-FAWI-155580-86-DE."
Fachperson Betreuung in Springerfunktion in familien- und schulergänzenden Betreuungseinrichtungen der Stadt Schaffhausen,Stadt Schaffhausen,"Schaffhausen, Schaffhausen, Switzerland",Entry level,Full-time,"Bist du bereit die Zukunft der Stadt Schaffhausen mitzugestalten?Die Stadt Schaffhausen bietet für Kinder und Jugendliche in zwei Kinderkrippen, drei Schülerhorten, einer Tagesschule und an vier Mittagstischen insgesamt rund 255 Plätze in der familien- und schulergänzenden Betreuung. Wir setzen uns täglich für eine hohe Betreuungsqualität zum Wohle der Kinder ein und suchen dich zur UnterstützungEintrittstermin: sofort oder nach VereinbarungFachperson Betreuung in Springerfunktion in familien- und schulergänzenden Betreuungseinrichtungen der Stadt Schaffhausen (10–15 %)Stadt SchaffhausenBetreuung/Soziales/BildungStadt SchaffhausenIn diesem spannenden Jobbetreust du Schulkinder über den Mittag am Mittagstisch, Schulkinder während der schulfreien Zeit im Schülerhort oder Kleinkinder ganztags in der Kinderkrippebringst du dich in die Planung und Gestaltung der pädagogischen Arbeit mit eingestaltest du die Eltern- und Öffentlichkeitsarbeit mitsetzt du dich mit der Integration von verschiedenen Kulturen auseinanderhilfst du im Bereich Hauswirtschaft mitDu bist hier erfolgreichdank deiner Berufsausbildung als Fachperson Kinderbetreuung EFZ oder einer gleichwertigen Ausbildungmit Berufserfahrung in der Betreuung und Verpflegung von Kleinkindern und Schulkindernwenn du Freude hast an der Arbeit mit Kindern und Eltern und gerne im Team arbeitestdank deiner Verbindlichkeit, Zeit und Flexibilität, um an den vereinbarten Tagen einzuspringenweil du dich stilsicher in Deutsch ausdrücken kannst (mündlich und schriftlich)mit deinen guten Kenntnissen der MS-Office-PaletteSo profitierst duUnsere Stadt in Schuss zu halten ist Teamwork. Du profitierst von den Erfahrungen unterschiedlichster Menschen mit spannenden Biografien. Alle, die unsere Stadt bewegen wollen, sind hier willkommen.Zuhause ist es doch am schönsten. Wir sind die l(i)ebenswerte Alternative zu Zürich und anderen Grossstädten. Sich für Schaffhausen einzusetzen, macht unglaublich viel Freude.Mit deinem Anstellungspaket kannst du rundum zufrieden sein, und das Beste: Wir planen langfristig mit dir.Mehr Details? Gerne.Fragen oder Anliegen? Sehr gerne! Wir freuen uns auf den Kontakt.Florian GallikerHR-Berater+41 52 632 68 15Für alle fachlichen Fragen:Alexander KlettAbteilungsleiter Kinder- und Jugendbetreuung+41 52 632 53 37Nicht das Passende?Schau dir unsere freien Stellen an"
Spa Therapist,Swissbellefontaine,"Geneva, Geneva, Switzerland",Entry level,Part-time,"SPA Beauty Therapist – Mandarin Oriental & Beau Rivage GenevaInformationFounded in 2006, Bellefontaine Switzerland opens up an anti-aging universe of incredible luxury for an elite clientele searching for youth and excellence. Bellefontaine cosmetics are 100% made in Switzerland. Based on natural and precious ingredients from the Alps, pure glacier water, and recent biotechnology discoveries, they arouse the desire by the force of their qualities. The aim is to fight against soft inflammation, one of the main causes of skin aging, through the creation of the unique and revolutionary complex, EDELGEN®.With a passion for excellence and innovation, honoring the uniqueness of each client, Bellefontaine aims to offer bespoke therapy with a sensorial experience together with each treatment. Since its beginnings, Bellefontaine has developed the most highly-perfected rituals, hand-crafted beauty diagnoses, bespoke treatments & innovative massage techniques.Job DescriptionContract: Part-time 50%Residence: in Switzerland, with a B residence permitStart: As soon as possiblePlace: Mandarin Oriental & Beau Rivage Geneva – La Suite BeautéWe are looking for an experienced and professional Beauty Therapist (facial & body treatments) to work in La Suite Beauté at Mandarin Oriental & Beau Rivage Geneva. The gorgeous space is home to a private beauty suite and a suite for duo treatments.The ideal candidate will be in charge of promoting the Bellefontaine brand, providing high-quality beauty facials and body treatments, delivering exceptional 5-star service, and creating an unrivaled guest experience.Main Responsibilities:Beauty Treatments:Provide impeccable services to every customer by following Bellefontaine`s signature luxury steps and beauty protocols for face and body treatments;Ensure that the Bellefontaine treatments are perfectly executed to guarantee that Bellefontaine's vision and mission are delivered to the highest professional standard.Guest ManagementAnticipate the needs of guests;Ensure confidentiality of guests;Accommodate all guest requests in an accurate and efficient manner;Handle all guest complaints in a timely manner, maintaining a positive impression with the guest on resolving any complaints.Performance & SalesPromote and perform exclusive Bellefontaine beauty treatments for face & body;Promote and sell the Bellefontaine products;Inspire clients through storytelling, by having a deep knowledge of the brand and its collections;Continuous monitoring of KPIs and target achievement in close exchange with the SPA Manager;A total of 2-5 years of experience in a similar role;A certificate of the Beauty Therapist is required;Experience in 5* Hotel and working with high-end clients is important;Experience in working with Oxytherapy/ Cold Plasma is a plus;Strong client-centric mindset with experience in establishing and growing client relationships;High resilience;High energy level and positive outlook;Friendly and professional presence;Languages: Good knowledge of English & French."
"Case Manager/in / Sozialarbeiter/in (80-100 %), Adliswil",Caritas Schweiz,"Zurich, Switzerland",Mid-Senior level,Full-time,"Das Richtige tun. In der Schweiz und in rund 20 Ländern auf vier Kontinenten. Engagieren Sie sich mit uns für die Vision einer solidarischen Gesellschaft, alsCase Manager/in / Sozialarbeiter/in (80-100 %), AdliswilCaritas Schweiz betreibt im kantonalen Auftrag Asylzentren und MNA-Unterkünfte an mehreren Standorten im Kanton Zürich. Im Durchgangszentrum Adliswil sind Einzelpersonen und Familien in einem Mehrfamilienhaus mit grosszügigem Umschwung untergebracht.Ihre AufgabenUnterstützung und Begleitung der Bewohnerinnen und Bewohner von Asylunterkünften im Kanton Zürich Potentialabklärung und Zuweisung in die Angebote der Integrationsagenda Sozialberatung (Unterkunft/Wohnen, Familie, Krankenkasse, usw.) und Triage der Begünstigten an die zuständigen Ansprechpartner Erstellung der monatlichen Sozialhilfebudgets Sicherstellung des Subsidiaritätsprinzips (Sozialversicherungen, Subventionen, usw.) Unterstützung bei verschiedenen administrativen Aufgaben und Zusammenarbeit mit anderen Diensten/Institutionen Zusammenarbeit im Team, mit den anderen multidisziplinären Diensten und dem Netzwerk Ansprechperson für externe Stellen: Integrationsangebote, Schulen, stationäre Angebote, Kanton etc. Fallführung und Korrespondenz im Fallbearbeitungssystem Tutoris Aktive Teilnahme an Kolloquien und Intervisionen des DienstesUnsere AnforderungenDiplom in Sozialer Arbeit, Sozialpädagogik (oder vergleichbare Ausbildung) Weiterbildung in Case-Management und/oder zu Integrationsthemen von Vorteil Mindestens fünf Jahre BerufserfahrungKenntnisse und Erfahrungen in der Anwendung des Sozialhilfegesetzes Sehr gute mündliche und schriftliche Deutschkenntnisse sowie gute mündliche Kenntnisse einer weiteren Landessprache und/oder Englisch und/oder einer Asylsprache Informatikkenntnisse idealerweise mit Fallführungssoftware Sinn für Zusammenarbeit, Verhandlungsgeschick und Teamarbeit Interkulturelle Kompetenzen und Interesse für den Asyl- und Flüchtlingsbereich Gute Stressbewältigung und effiziente Selbstorganisation (Arbeitszeiten, Aufgaben, Prioritätenmanagement) Professionelle Haltung zwischen Empathie und DurchsetzungsfähigkeitArbeitsort: Adliswil, mit Bereitschaft nach Bedarf in Zürich, Witikon, Uster oder Kollbrunn tätig zu seinArbeitsbeginn: per sofort oder nach Vereinbarung.Caritas bietet attraktive Anstellungsbedingungen und ein offenes Arbeitsklima am Puls gesellschaftlicher Themen. Für die aktive Entwicklung und Umsetzung der digitalen Transformation zählen wir auf Mitarbeitende mit einem digitalen und agilen Mindset, die gerne an Veränderungsprozessen partizipieren.Auskünfte zu dieser Stelle erteilt Ihnen gerne Frau Julia Kuruc, Leiterin Asylzentrum, Telefon +41 76 379 38 32.Wir danken Ihnen für das Interesse und freuen uns auf Ihre Bewerbung (primär Lebenslauf, Motivationsschreiben optional) sobald als möglich über das Online-Portal. Die Bewerbungen werden laufend gesichtet und Bewerbungsgespräche geführt.Caritas Schweiz, Adligenswilerstrasse 15, 6002 Luzernwww.caritas.chJetzt online bewerben Mit xeebo bewerben Facebook  Xing  Twitter  Google+"
Fachperson Betreuung EFZ Kita Lehenmattstrasse 80-100%,familea,"Basel, Basel, Switzerland",Entry level,Full-time,"Du suchst eine vielseitige Tätigkeit?familea ist ein sozial engagierter Verein mit über 120-jähriger Tradition im Raum Basel. Wir führen über 30 Kitas und eine Tagesstruktur, Kinder- und Jugendheime, das Zentrum Pflegekinder Nordwestschweiz und eine Frauenberatungsstelle. Bei uns stehen Kinder, Familien, Chancengleichheit und Integration im Mittelpunkt.Wir suchen für die familea Kita Lehenmattstrasse per sofort oder nach Vereinbarung eineKindheitspädagog/in HF oder Fachperson Betreuung EFZ zu 80-100%.Möchtest du jeden Tag ein strahlendes Lächeln in Kindergesichter zaubern?Dann bist du bei uns genau richtig!Das Sind Deine AufgabenBetreuung und Förderung von altersgemischten KindergruppenAnleitung von Lernenden und SozialpraktikantenKundenorientierte, offene und vertrauensvolle Zusammenarbeit mit den ElternPlanung und Umsetzung eines abwechslungsreichen Tagesablaufs, abgestimmt auf die Individualität des KinderDas bringst du mit:Abgeschlossene Grundbildung als Fachperson Betreuung Kinder, abgeschlossenes Studium als Sozial- oder Kindheitspädagoge oder ähnliche pädagogische AusbildungBerufs- und Ausbildungserfahrung mit ausgeprägter Selbst-, Fach- und SozialkompetenzFreude und Geduld im Umgang mit KindernEngagement, Zuverlässigkeit, Belastbarkeit und FlexibilitätDu bringst gerne neue Ideen ein und hast Spass an kreativen Aktivitäten wie Singen, Tanzen, Geschichten erzählen…Das Erwartet DichEin motiviertes Team mit offener Du-KulturEin kreatives Arbeitsumfeld mit GestaltungsspielraumEigene Weiterentwicklung mit regelmässigen WeiterbildungsmöglichkeitenInteressiert?Dann lass uns gemeinsam unvergessliche Kindheitserinnerungen schaffen!Sende deine vollständigen Bewerbungsunterlagen direkt online an uns. Für weitere Fragen steht dir Nadja Albers, Kitaleiterin, Tel. 061 260 84 70 gerne zur Verfügung."
Fachperson Betreuung EFZ Kita Appenzellerstrasse 80-100%,familea,"Basel, Basel, Switzerland",Entry level,Full-time,"Du suchst eine vielseitige Tätigkeit?familea ist ein sozial engagierter Verein mit über 120-jähriger Tradition im Raum Basel. Wir führen über 30 Kitas und eine Tagesstruktur, Kinder- und Jugendheime, das Zentrum Pflegekinder Nordwestschweiz und eine Frauenberatungsstelle. Bei uns stehen Kinder, Familien, Chancengleichheit und Integration im Mittelpunkt.Wir suchen für die familea Kita Appenzellerstrasse per 1. August 2024 oder nach Vereinbarung eineFachperson Betreuung EFZ zu 80 - 100%.Hast du Freude an der Arbeit mit Kindern und möchtest du ihre Entwicklung aktiv begleiten?Dann bist du bei uns genau richtig!Das sind deine AufgabenBetreuung und Förderung der altershomogenen Kindergruppe (ca.2 -4 Jahre)Anleitung von Lernenden und SozialpraktikantenKundenorientierte, offene und vertrauensvolle Zusammenarbeit mit den ElternPlanung und Umsetzung eines abwechslungsreichen Tagesablaufs, abgestimmt auf die Individualität des KindesDu zeigst Interesse und bist offen für neue pädagogische Ansätze wie die partizipative Haltung und Montessori Pädagogik, Arbeit mit Funktionsräumen, Umsetzung von Bildungs- und LerngeschichtenDas bringst du mit:Abgeschlossene Grundbildung als Fachperson Betreuung Kinder, abgeschlossenes Studium als Sozial- oder Kindheitspädagoge oder ähnliche pädagogische AusbildungBerufs- und Ausbildungserfahrung mit ausgeprägter Selbst-, Fach- und SozialkompetenzFreude und Geduld im Umgang mit KindernEngagement, Zuverlässigkeit, Belastbarkeit und FlexibilitätDu bringst gerne neue Ideen ein und hast Spass an kreativen Aktivitäten im AlltagDas erwartet dichEin motiviertes Team welches die Fehlerkultur lebt und dies als eine Bereicherung siehtEin kreatives Arbeitsumfeld mit GestaltungsspielraumEigene Weiterentwicklung mit regelmässigen WeiterbildungsmöglichkeitenDurchführung des wöchentlicher WaldtagesInteressiert?Dann lass uns gemeinsam unvergessliche Kindheitserinnerungen schaffen!Sende deine vollständigen Bewerbungsunterlagen direkt online an uns. Für weitere Fragen steht dir Monica Arnold, Kitaleiterin, Tel 061 260 85 60 gerne zur Verfügung."
Beauty Therapist,BIOLOGIQUE RECHERCHE,"Lausanne, Vaud, Switzerland",Entry level,Full-time,"We are looking for passionate and experienced beauticians to join our team at the new Ambassade Biologique Recherche in Lausanne.We offer:• Exceptional training to learn our unique protocols, manual techniques & machines• High standards working environment with high level clients• Participation at our Zurich & ParisConventions• Rewarding bonus system, based on your pertormance• Further training opportunities to grow as a brand trainer for our 5 stars hotel partners.Being dynamic, flexible and having team spirit and sense of service are necessary skills. English is required.Email: info@ambassadelausanne.ch"
Sozialarbeiter*innen 80-100%,AOZ,"Zurich, Zurich, Switzerland",Entry level,Full-time,"8050 ZürichBeratung / Soziales / Soziale Arbeit / Sozialpädagogik80% - 100%Die Sozialberatung leistet persönliche und wirtschaftliche Hilfe für Asylsuchende, vorläufig Aufgenommene und anerkannte Flüchtlinge mit Wohnsitz in der Stadt Zürich.Stellenantritt: per 1. Juni 2024 oder nach VereinbarungIhre AufgabenSie prüfen und klären den Anspruch und stellen die wirtschaftliche und persönliche Sozialhilfe auf der Grundlage des Sozialhilfegesetzes, der Asylfürsorgeverordnung und weiterer Gesetze und Richtlinien sicherSie machen Rechtsansprüche gegenüber Dritten geltend nach dem Grundsatz der SubsidiaritätSie führen die IT-unterstützte Fallführung durch (Tutoris)Sie beraten und begleiten Einzelpersonen und Familien in schwierigen LebenssituationenSie leiten adäquate Massnahmen in Zusammenarbeit mit internen und externen Fachpersonen sowie Fachorganisationen ein und setze diese umIhr ProfilSie verfügen über ein abgeschlossenes Studium in Sozialer ArbeitSie bringen mehrjährige Berufserfahrung und Kenntnisse in der Sozialhilfe und im Asylwesen mitSie besitzen gute IT-Anwenderkenntnisse (MS-Office) und von Vorteil FremdsprachenkenntnisseSie zeichnen sich durch ausgeprägte konzeptionelle und kommunikative Fähigkeiten ausSie weisen hohe Sozialkompetenz und Belastbarkeit vor.Wir bieten IhnenEin sinnstiftendes, verantwortungsvolles, vielseitiges und anspruchsvolles Aufgabengebiet in einem spannenden und dynamischen UmfeldWahlweise mit Beitrag an Verpflegungskosten (Lunch Checks)Diverse Vergünstigungen, z.B. bei Mobility Carsharing, Mobile Abos, Cornercard KreditkartenMobiles Arbeiten nach MöglichkeitIndividuelles WeiterbildungsangebotIhr ArbeitsortEggbühlstrasse 15, 8050 Zürich, SchweizPlayPauseTon ausZum Anfang"
Case Manager/in Deutschschweiz 70-100%,ZURZACH Care Unternehmensgruppe,"Zurich, Zurich, Switzerland",Mid-Senior level,Full-time,"Deine Aufgabenbereiche SindIm Rahmen des Case Managements stehst du der erkrankten/verunfallten Person mit Ihrem Reintegrationsfachwissen proaktiv und beratend zur SeiteDabei koordinierst du im Rahmen der beruflichen Wiedereingliederung verschiedene Anspruchsgruppen wie Vorgesetzte, Personalverantwortliche, behandelnde Ärzte/Ärztinnen, Therapeuten/innen, sowie Sozialversicherer und ggf. RechtsvertreterDu bist verantwortlich für die Erarbeitung der Reintegrationsplanung und stimmst diese mit der betroffenen Person und den involvierten Parteien abDas Organisieren und Leiten von interprofessionellen Standortbestimmungen (Rundtisch-Gesprächen) sowie das Präsentieren unserer Dienstleistungen bei Kunden sind Teil deines vielseitigen JobsDeine Kompetenzen SindAusgewiesene Erfahrung in der Fallführung im Case ManagementGute Kenntnisse im Sozialversicherungs- und ArbeitsrechtAbgeschlossene CAS-Weiterbildung in Case Management / Eingliederungsmanagement von VorteilBeratungskompetenz, ein sicheres, gewinnendes Auftreten und gute kommunikative Fähigkeiten sowie KonfliktfähigkeitAusgeprägtes Selbstmanagement und Flair für die strukturierte Falladministration und LeistungserfassungSehr gute schriftliche und mündliche Ausdruckweise in Deutsch und integrierst diese in deine FallführungskompetenzFlexibilität und Bereitschaft zu ReisetätigkeitDeine Perspektiven SindMitgestaltung der spannenden Weiterentwicklung von ZURZACH Care Prävention und Reintegrationattraktiver Arbeitsplatz in Zürich, Aarau, Luzern oder im HybridmodellDiverse Aus- und Weiterbildungen mit einer grosszügigen KostenbeteiligungSBB-Generalabonnement für deine regelmässigen ArbeitseinsätzeÜberdurchschnittliche Beteiligung an Pensionskassenbeiträgen inkl. Übernahme Verwaltungskosten sowie attraktive Wahlmöglichkeiten des VorsorgeplansGratiseintritt in die Wellness-Therme FORTYSEVEN wie auch THERME ZURZACH, Angehörige erhalten vergünstigt EintrittFlottenrabatt bei verschiedenen AutohäusernAnsprechpersonFür Fragen steht dir Sandra Gasser, Gruppenleiterin Case Management, Telefon +41 43 268 27 62, gerne zur VerfügungHaben wir dein Interesse geweckt? Dann freuen wir uns auf deine Online-Bewerbung."
RIVER - Nautic - 1st Officer,Viking,"Basel, Basel, Switzerland",Mid-Senior level,Contract,"First Officer River - NauticViking was founded in 1997 and has grown to be the leading small ship travel company, offering destination-focused river, ocean and expedition voyages on all seven continents. Designed for experienced travelers with interests in science, history, culture and cuisine, Chairman Torstein Hagen often says Viking offers guests The Thinking Person’s Cruise® in contrast to mainstream cruises.With more than 250 awards to its name, the company currently operates a fleet of state-of-the-art ships that have received numerous accolades since their launch from industry experts and travelers alike. For the second year in a row, Viking was voted the #1 River Line and the #1 Ocean Line by Condé Nast Traveler in the publication’s 2022 Readers’ Choice Awards. Viking was also named #1 for both Rivers and Oceans by Travel + Leisure in the 2022 World’s Best Awards making it the only cruise line to reach the top of its categories in both publications in the same year.Role OverviewPart of our nautical team on our River vessels, the First Officer ensures safe navigation in compliance with all the statutory regulations and makes sure that the guests feel comfortable. The First Officer reports to the Captain.What You Will Do On Board Overall responsible for safety on board the ship including performing of safety drills and familiarization with safety procedures for the whole crew.  Captain’s representative onboard.  Navigating without supervision on assigned stretches in compliance with regulations, timetables and lock times to avoid incidents and delays.  Cost-conscious use of all energy resources (gas oil, lubricants, etc.)  Responsible for the administrative process and timely submission of all mandatory reports.  Provide training for candidates of internal training programs and other crew.  Check whether the necessary patents for the route are present onboard and if the nautical crew’s service book contains the necessary qualifications for the operating system according to regulations.  Participates in regular meetings and company-relevant trainings.  WHY JOIN VIKING?  Elevate Your Career Regardless of where you are on your career journey, Viking can help you in reaching new destinations with: Regular training and simulator assessments within working time  On-the-job coaching to help you advance rapidly Unlimited contracts with a 4/4 or 4/2 system  On board our ship  Uniforms, laundry and unlimited Wi-Fi are free of charge for all crew members  Lodging and meals are provided to you by Viking onboard  Guaranteed single cabin  Travel to/from the ship reimbursement payment  Dedicated crew area  Sundeck area for crew use Employee Benefits Paid vacation  Referral program  Loyalty bonuses  Salary payments and social security benefits in accordance with Swiss conditions About You At least 2 years of work experience as a Second Officer  Interested in further education (certificate extension, language skills…)  Independent and flexible  Decisive and assertive  Strong team worker and able to motivate the crew  Shows ambition and initiative; perseverant Depending in which geographical area you are eligible to sail you need to fulfill the following obligatory requirements:Rhine – Elbe – Mosel Boatmaster License  Rhine patent until Mainz (km 1000 – 493)  VHF  Radar  Safety Expert (Sachkunde)  Languages: German and English (mandatory), Dutch and French as an asset Danube Boatmaster License  Danube patent from Sulina to Regensburg (km 0 – 2370)  VHF  Radar  Safety Expert (Sachkunde)  Languages: German and English (mandatory), Russian as an asset Rhine – Main – Danube Boatmaster License  Rhine patent until Mainz (km 1000 – 493)  Danube license  Radar  VHF  Safety Expert (Sachkunde)  Languages: German and English (mandatory), French and Russian as an asset France Longueur illimitée  Radar  VHF  Safety Expert (expert)  Languages: French and English (mandatory), German as an asset  APPLICATION AND JOB RELEVANT INFORMATION Our roles will be subject to our appearance standards (including in relation to visible tattoos) and employees are expected to project a professional image at all times. Visible tattoos are not permitted. Tattoos concealed with make-up, skin-colored sleeves, or any covering other than the company uniform will still be considered visible for the purposes of our appearance standards. Exemptions to this may be considered on a case-by-case basis where appropriate. Tattoo removal may not result in successful employment and therefore is not encouraged and is the candidate’s personal decision. Furthermore, any offer of employment is subject to you passing all mandatory medical examinations as required by the company. For further information, please contact our recruiting team.DISCLAIMERAs part of any recruitment process, Viking collects and processes personal data relating to job applicants. We are committed to being transparent about how we collect and use that data and to meeting our data protection obligations. If you would like to find out more about how your information will be used, please view the privacy notice on our careers page."
